text,label,notes
"Counter-Terrorists win",reaction,
"GLORIOUS HATEWATCH",reaction,
"OKC Dynasty 2025-2025 RIP",reaction,
"That really was just a generational hate-watch.",reaction,
"The Corgi went 7/7!",reaction,
"LMAOOOOO Thunder fans really thought they were winning it all 💀💀💀",reaction,
"FADE EM 🗑️🗑️🗑️",reaction,
"I can't believe they actually did it. I'm shaking. THIS TEAM.",reaction,
"THEY REALLY GAVE CHET THE MAX 🤣🤣🤣 Type of guy to shoot 2 shots in a Game 7. Fucking embarrassing.",hot_take,"Borderline reaction/hot_take. The mockery is emotional but it makes a claim about Chet's contract value. Went with hot_take per 'bold claim without evidence' rule."
"From 'Is OKC gonna beat the 16-1 warriors playoff record' to FADED LMAO",reaction,
"Absolutely cinema. Greatest game 7 I've ever watched.",reaction,
"Spurs in 7 I never doubted",reaction,
"This is the greatest playoff series I've ever watched. Game 7 was a masterpiece. Both teams left everything on the floor.",reaction,
"WEMBY IS HIM. I don't know what else to say.",reaction,
"RIP bozo",reaction,
"Pack watch 🚬",reaction,
"I'm literally crying tears of joy right now",reaction,
"THE BAD GUYS LOST",reaction,
"Never been more happy to be wrong about a series prediction",reaction,
"HOLY SHIT THEY ACTUALLY DID IT",reaction,
"Best day of my life as a Spurs fan since 2014",reaction,
"This is my Super Bowl",reaction,
"I need a cigarette and I don't even smoke",reaction,
"Chet Holmgren is the most overrated player in the league. Dude is just tall and got lucky playing next to SGA.",hot_take,
"Spurs are winning the next 5 championships. Book it. Wemby is already the best player in the world and it's not close.",hot_take,
"Thunder won 68 games and couldn't even make the Finals. Regular season means nothing.",hot_take,
"perhaps we shouldnt be calling teams a dynasty after 1 chip lol",hot_take,
"SGA is a regular season merchant. Put him in the playoffs and he shrinks every single time.",hot_take,
"Jokic averaged a triple-double in the playoffs and his team lost in the second round. Empty stats.",hot_take,
"The Thunder are never winning a championship with this core. Too soft, too young, no killer instinct.",hot_take,
"Dort shot 29% from three in the playoffs. You can't win when your starting SG shoots like that.",hot_take,"Borderline hot_take/analysis. One stat + one assertion per decision rule → hot_take."
"Chet got absolutely sonned by Wemby all series. Never seen a max player get exposed that badly.",hot_take,
"Thunder are the biggest frauds in NBA history. 68 wins and couldn't even reach the Finals.",hot_take,
"People really tried to say SGA was better than Wemby lmaoooo",hot_take,
"NBA is so soft now. This wouldn't have happened in the 90s.",hot_take,
"The refs handed the Spurs this series. Thunder got zero calls all series.",hot_take,
"Wemby is already top 10 all time. I don't care about longevity.",hot_take,
"SGA is just James Harden 2.0 — foul baiting, no rings, empty calories.",hot_take,
"Jalen Williams is the most overrated 'star' in the league. Dude is a 3rd option at best.",hot_take,
"Chet is just a tall guy who can shoot a little. Not a franchise player. Never was.",hot_take,
"Popovich could coach a YMCA team past this Thunder squad. Coaching diff is real.",hot_take,
"OKC wasted the greatest regular season ever. Fire everyone.",hot_take,
"Spurs winning it all this year and it won't even be close. Sweep incoming.",hot_take,
"Anyone who thought OKC was beating the Spurs doesn't know basketball.",hot_take,
"All series he has been dog Chet",hot_take,
"Legit all-time embarrassing performance. Shooting just twice in a G7.",hot_take,"Borderline hot_take/reaction. The second sentence cites a fact (2 shots) but the post is primarily an assertion of embarrassment."
"Meanwhile Chet is taking 2 shots on a max",hot_take,
"Wemby's defensive rating dropped from 108.3 to 104.1 after the All-Star break. The difference is almost entirely in his help defense positioning — he's contesting 3.2 more shots per game at the rim and opponents are shooting 11% worse on those contests. You can see it in how he's staying vertical instead of biting on pump fakes.",analysis,
"Looking at the last 10 champions, 8 of them had a top-5 net rating in the regular season. The two exceptions (2023 Nuggets, 2021 Bucks) both had top-3 net ratings post-All-Star break. The Thunder finished 7th in net rating this year and were 9th post-ASB. Historically, that profile doesn't win titles.",analysis,
"The Thunder's offense was historically great in the regular season (122.1 ORtg, 2nd all-time). But in the playoffs, it dropped to 114.3. The difference? Teams stopped doubling SGA and dared the role players to beat them — and they couldn't. Dort shot 29% from three, JDub shot 31%.",analysis,
"Wemby's block rate in the playoffs (8.7%) was actually lower than his regular season rate (9.3%). Teams adjusted by pulling him out to the perimeter and attacking the rim when he rotated. The Spurs countered by having Sochan play free safety, which is why Sochan's defensive rating improved by 6 points in the playoffs.",analysis,
"The Celtics took 48 threes in Game 5. That's more than they took in any regular season game. The Spurs adjusted by running them off the line in the second half — Boston went 3/14 from three after halftime.",analysis,
"People keep saying the Thunder choked but look at the numbers: OKC's half-court offense was 98.3 ORtg in the half-court vs. the Spurs, down from 104.1 in the regular season. The Spurs packed the paint and forced OKC to beat them with perimeter shooting from non-SGA players. Dort, JDub, and Wallace shot a combined 31% from three on 14.3 attempts per game. That's the series right there.",analysis,
"The Spurs' defensive strategy in this series was a masterclass. They used Wemby as a roamer rather than a primary defender on Chet, which let him contest shots from everywhere while Sochan and Vassell handled the point of attack. Chet shot 38% when Wemby was on the floor and 62% when he sat. The Thunder had no counter because they don't have a secondary creator who can punish a roaming big.",analysis,
"What makes Wemby's playoff run historically significant isn't just the counting stats — it's the efficiency and the defensive impact. He's averaging 28/14/5 with 4 blocks on 62% TS. The only players to match that scoring + efficiency + block combination in a single playoffs are peak Hakeem (1994, 1995) and Shaq (2000). And Wemby is doing it as a second-year player.",analysis,
"The Thunder's heliocentric offense was always going to have a ceiling. In the regular season, SGA had a 34.7% usage rate — highest on any team that made the conference finals since 2019 Harden. But unlike Harden's Rockets, OKC didn't have the shooting around him to punish help. Only 2 Thunder rotation players shot above 37% from three in the playoffs. You can't run a heliocentric offense without spacing.",analysis,
"One underrated factor in this series: the Spurs dominated the possession game. They had a 16.2% offensive rebound rate to OKC's 9.1%, and they forced 2.8 more turnovers per game. That's roughly 8 extra possessions per game. In a series where 4 of 7 games were decided by single digits, those extra possessions were the difference between winning and losing.",analysis,
"Castle's development as a secondary creator is the biggest reason the Spurs made the leap from play-in to Finals. Last year he averaged 3.2 assists and shot 28% from three. This year: 6.1 assists, 36% from three, and he's been the primary ballhandler in crunch time while Wemby works off-ball. That takes immense pressure off a 7'5"" center who shouldn't have to create his own shot every possession.",analysis,
"The Thunder's defensive scheme actually worked reasonably well against Wemby individually — they held him to 44% shooting when guarded by Chet. The problem was everything else: Wemby's offensive rebounding (4.1 per game), his passing out of doubles (5.7 assists), and the Spurs' role players shooting 41% from three on Wemby kick-outs. You can't just 'stop Wemby' anymore — he's too complete.",analysis,
"Looking at the salary cap situation: Chet and JDub are both extension-eligible this summer. If OKC maxes both, they'll have ~$140M tied up in SGA/Chet/JDub starting in 2027-28. That's before filling out the rest of the roster. The new CBA makes it extremely punitive to have three max contracts — you lose the MLE, you can't aggregate salaries in trades, your draft picks freeze. Presti has some very hard decisions coming.",analysis,
"Champagnie played like a 2nd overall pick more than the actual 2nd overall pick in Chet",hot_take,
"The fuck you dunk at the end was so cathartic and I don't even like the spurs",reaction,
"For those who don't know: Champagnie was undrafted out of Pitt, spent time in the G League, and is now playing 20+ minutes in the WCF on a minimum contract.",context,
"The last time a team came back from 3-1 down in the Conference Finals was the 2016 Warriors against the Thunder. Before that, it was the 1981 Celtics against the 76ers.",context,
"For reference: the last 5 teams to win 68+ games all made the Finals. Three won the championship.",context,
"The Spurs averaged 29 wins over the last 6 years, and just eliminated OKC.",context,
"Thunder had the #1 defense and #3 offense in the regular season. They lost in 7 to a Spurs team that was #4 defense and #6 offense.",context,"Borderline context/analysis. Presents stats without explicit argument, though juxtaposition implies narrative. Per decision rule, post is informative without requiring the implied conclusion → context."
"Fun fact: Wemby is the youngest player to average 25+ PPG in a Conference Finals series since Kobe in 2000.",context,
"Champagnie's contract: 4 years, $12M total. He's making less this season than what Chet makes in 3 games.",context,
"The Spurs haven't been to the Finals since 2014. That's an 11-year drought for a franchise with 5 championships.",context,
"For those asking about the draft: the Thunder own 7 first-round picks over the next 3 years, including the Rockets' unprotected 2027 pick and the Clippers' unprotected 2028 pick.",context,
"The last rookie to make First Team All-Defense was Tim Duncan in 1998. Wemby just did it and finished top-3 in DPOY voting.",context,
"Quick explainer on why the Thunder's picks are so valuable: they have swap rights with the Clippers in 2027 and the Rockets in 2028, plus unprotected picks from both teams. If either team bottoms out, OKC gets a lottery pick without having to tank themselves.",context,
"Since the play-in tournament was introduced in 2020, no team that started the season with a rookie head coach has made it past the second round. The Spurs just did it with a rookie coach AND a second-year center as their best player.",context,
"Just to put the 68 wins in perspective: only 5 teams in NBA history have won 68+ games. The 1996 Bulls (72-10, won title), 1997 Bulls (69-13, won title), 1972 Lakers (69-13, won title), 1967 76ers (68-13, won title), 1973 Celtics (68-14, lost in ECF), and the 2016 Warriors (73-9, lost in Finals). OKC is the 7th team to win 68+ and the 3rd not to win the title.",context,
"The Thunder's net rating this season (+11.4) was the 4th highest in NBA history. The three teams ahead of them (1996 Bulls, 1997 Bulls, 2017 Warriors) all won the championship.",context,
"Victor Wembanyama's playoff stats through the Conference Finals: 28.4 PPG, 14.2 RPG, 5.1 APG, 4.3 BPG, 1.7 SPG, 61.8% TS, 37% from three on 5.2 attempts per game.",context,
"Here's the Thunder's salary breakdown for next season: SGA $38.3M, Dort $16.5M, Hartenstein $28.5M, Joe $12.5M, Wiggins $10.5M. Chet and JDub are still on rookie deals ($13.7M and $6.5M respectively) but both are extension-eligible this summer.",context,
"Just a reminder that the Spurs got Wemby because they won the 2023 lottery with a 14% chance. The Pistons, Rockets, and Hornets all had the same 14% odds. The basketball gods have a sense of humor.",context,
"Historical comparison: the 2007 Mavericks won 67 games and lost in the first round to the 8-seed Warriors. The 2016 Warriors won 73 and lost in the Finals after being up 3-1. Winning a ton of regular season games and falling short in the playoffs has precedent, but 68 wins and losing before the Finals is new territory.",context,
"For anyone confused about the CBA implications: under the new second apron rules, the Thunder would face severe restrictions if they max both Chet and JDub. They'd lose access to the taxpayer MLE, couldn't take back more salary than they send out in trades, couldn't aggregate contracts in trades, and their 2032 first-round pick would be frozen (unable to be traded). This is why you're hearing rumors about OKC potentially trading one of their young guys.",context,
"The Spurs rebuilt their entire roster around Wemby in 18 months. In 2024 they had the worst record in the West. Now they're in the Finals. The turnaround is unprecedented for a team that didn't sign a max free agent.",context,
"SGA shot 41% from the field in Game 7. You can't be a superstar and disappear like that in elimination games.",hot_take,"THE hardest edge case. One real stat + bold claim. Per decision rule: one stat + one assertion → hot_take. The stat is real but not contextualized."
"Wemby is going to singlehandedly alter the course of Chets career. I've never seen a player get sonned so hard by one player and it visibly crater their impact that way.",hot_take,
"That was a generational hate-watch. 72K upvotes on the elimination thread. The entire NBA fandom united against one team.",reaction,"Borderline reaction/context. Emotional expression is primary purpose; the stat (72K) is seasoning, not substance → reaction."
"I can't believe Wemby had 14 blocks in a playoff series. That's insane.",reaction,"Borderline reaction/context. Fact serves the emotion → reaction per decision rule."
"Champagnie was Undrafted out of college and he is playing like 20 minutes a game in the WCF making league minimum money. That's fucking crazy.",context,"Borderline context/reaction. First sentence is pure context; second sentence adds emotion. Overall the factual content dominates → context."
"The Thunder had the #1 defense in the regular season. The Spurs just put up 121 points on them in Game 7.",context,"Borderline context/analysis. Facts presented without explicit thesis → context per decision rule."
"r/NBA 12/25 EDIT: The Spurs averaged 29 wins over the last 6 years, and just eliminated OKC. What the actual fuck",reaction,"Contains context (29 wins stat) but the emotional framing and 'what the actual fuck' make it primarily a reaction."
"chet 2 holiday",reaction,
"Counter-Terrorists win",reaction,
"LMAO GET FADED",reaction,
"Spurs really went from 22 wins to the Finals in two years. Masterclass rebuild.",context,
"The Thunder are the first team in NBA history to win 68+ games and not make the conference finals.",context,
"Wemby with 14 blocks in the series is the most by any player in a Conference Finals since the NBA started tracking blocks in 1973-74.",context,
"People forget the Spurs were 22-60 two years ago. This isn't just improvement — it's the fastest turnaround in NBA history without signing a superstar free agent.",context,
"OKC's half-court offense was 98.3 ORtg vs Spurs compared to 104.1 in the regular season. The drop-off is entirely in the half-court — their transition offense was actually better in the playoffs.",analysis,
"The key adjustment from Game 4 onward: the Spurs stopped hedging on SGA pick-and-rolls and started switching everything 1-4 while keeping Wemby in drop coverage. SGA went from 32 PPG on 58% TS in Games 1-3 to 24 PPG on 49% TS in Games 4-7. The switch took away his midrange pull-up and forced him to finish over Wemby at the rim, where he shot just 41%.",analysis,
"Three numbers that explain the series: 1) OKC's role players shot 31% from three on 14.3 attempts per game. 2) The Spurs grabbed 34% of available offensive rebounds to OKC's 18%. 3) Wemby contested 18.2 shots per game — the most by any player in any playoff series since tracking began. The Thunder's offense was designed around SGA creating advantages, but the Spurs had an answer for every advantage he created.",analysis,
"One thing that's getting lost: the Spurs' guards were incredible defensively. Vassell and Castle held SGA to 6/22 shooting when they were the primary defender. They're both 6'5""+ with 6'10""+ wingspans, and they fought over every screen. SGA couldn't get the switch onto a weaker defender because the Spurs had no weak defenders to target.",analysis,
"The Thunder's biggest roster flaw got exposed: they don't have a single player outside of SGA who can reliably create their own shot in the half-court. JDub is a good player but he's a connector, not a creator. When the Spurs took away the SGA advantage, OKC's offense devolved into contested pull-ups from role players. That's a roster construction issue, not an effort issue.",analysis,
"Watching the film, the Spurs ran a lot of 'delay' action with Wemby at the top of the key — basically using him as a 7'5"" point center. This pulled Chet away from the rim and opened up cutting lanes for Vassell and Castle. The Spurs scored 1.18 PPP on possessions where Wemby touched the ball at the top of the key. That's an elite half-court number.",analysis,
"The Thunder's defensive strategy of having Chet guard Wemby 1-on-1 without double-teaming was bold but ultimately failed. Wemby shot 48% when guarded by Chet, which isn't great, but he generated 5.7 assists per game out of those matchups — mostly to cutters and corner shooters. The Spurs scored 1.12 PPP on possessions where Chet was the primary defender on Wemby. You can live with Wemby scoring efficiently if you take away everything else, but the Thunder couldn't take away everything else.",analysis,
"Comparing this series to last year's WCF (Mavs-Wolves): the Mavs won because Luka and Kyrie could both create advantages and the Wolves had only one elite rim protector (Gobert). The Spurs won because Wemby is a one-man defensive system AND a one-man offensive engine. There's no historical comparison for a player who can anchor a top-3 defense while also being the hub of a top-5 offense.",analysis,
"Popovich's adjustment in Game 5 was subtle but brilliant: he started having Wemby set ball screens at the 3-point line instead of at the nail. This forced Chet to defend in space 25 feet from the basket, which is not his strength. Wemby as a pop threat from 28 feet is unguardable — Chet had to respect the shot, which opened up the entire floor for Castle and Vassell drives.",analysis,
"The Spurs outscored the Thunder by 12.3 points per 100 possessions when Wemby was on the floor. When he sat, the Thunder outscored the Spurs by 4.1. That's a 16.4 point swing. For context, Jokic's on/off in last year's championship run was +11.2. Giannis in 2021 was +9.8. What Wemby is doing at age 22 is unprecedented.",analysis,
"Let me break down why the 'OKC choked' narrative is lazy: the Spurs were the #1 defense post-All-Star break (107.2 DRTG). They had the best player in the series. They had home court advantage after Game 4. And they won Game 7 by 9 points. That's not a choke — that's the better team winning a close series. The Thunder didn't blow a 3-1 lead. They lost a competitive series to a team that figured them out.",analysis,
"Wemby's three-point shooting is the real X-factor that nobody talks about enough. He shot 37% from three in the playoffs on 5.2 attempts per game. When your 7'5"" center can space the floor like that, it fundamentally breaks defensive schemes. You can't put your center on him because he'll drag them to the perimeter. You can't put a wing on him because he'll shoot over them. The only answer is to switch everything and hope he misses — and he didn't miss enough.",analysis,
"One tactical detail I haven't seen discussed: the Spurs ran a lot of inverted pick-and-roll with Castle as the screener for Wemby as the ballhandler. This forced OKC to switch a guard onto Wemby or give him a head of steam going downhill. Wemby scored 1.32 PPP as the ballhandler in pick-and-roll during the series — that's an elite number for ANY player, let alone a center.",analysis,
